seurat_clusters	Sample	.n	.frac
c1	s20201208	178	0.0381892297790174
c1	s20210119	784	0.166136893409621
c1	s20210122_1	269	0.0536176998206099
c1	s20210122_2	563	0.1891165602956
c1	s20210201	408	0.0790085205267235
c1	s20210203	1566	0.213905204207076
c2	s20201208	639	0.137095043981978
c2	s20210119	271	0.0574274210637847
c2	s20210122_1	750	0.149491728124377
c2	s20210122_2	370	0.12428619415519
c2	s20210201	1000	0.193648334624322
c2	s20210203	499	0.0681600874197514
c3	s20201208	730	0.156618751340914
c3	s20210119	171	0.0362364907819453
c3	s20210122_1	688	0.137133745266095
c3	s20210122_2	334	0.112193483372523
c3	s20210201	600	0.116189000774593
c3	s20210203	598	0.0816828302144516
c4	s20201208	594	0.127440463419867
c4	s20210119	259	0.054884509429964
c4	s20210122_1	837	0.166832768586805
c4	s20210122_2	145	0.0487067517635203
c4	s20210201	290	0.0561580170410534
c4	s20210203	688	0.0939762327550881
c5	s20201208	772	0.165629693198884
c5	s20210119	511	0.108285653740199
c5	s20210122_1	315	0.0627865258122384
c5	s20210122_2	343	0.115216661068189
c5	s20210201	185	0.0358249419054996
c5	s20210203	595	0.0812730501297637
c6	s20201208	163	0.0349710362583137
c6	s20210119	521	0.110404746768383
c6	s20210122_1	466	0.0928841937412797
c6	s20210122_2	264	0.0886798790728922
c6	s20210201	210	0.0406661502711077
c6	s20210203	944	0.128944133315121
c7	s20201208	348	0.0746620896803261
c7	s20210119	420	0.0890019071837254
c7	s20210122_1	472	0.0940801275662747
c7	s20210122_2	165	0.0554249244205576
c7	s20210201	341	0.0660340821068939
c7	s20210203	663	0.0905613987160224
c8	s20201208	159	0.0341128513194593
c8	s20210119	182	0.0385674931129477
c8	s20210122_1	297	0.0591987243372533
c8	s20210122_2	180	0.0604635539133356
c8	s20210201	948	0.183578621223857
c8	s20210203	570	0.077858216090698
c9	s20201208	302	0.0647929628835014
c9	s20210119	577	0.122271667726213
c9	s20210122_1	284	0.0566075343830975
c9	s20210122_2	260	0.0873362445414847
c9	s20210201	457	0.0884972889233153
c9	s20210203	407	0.0555934981559896
c10	s20201208	540	0.115854966745334
c10	s20210119	267	0.0565797838525111
c10	s20210122_1	107	0.0213274865457445
c10	s20210122_2	152	0.0510581121934834
c10	s20210201	302	0.0584817970565453
c10	s20210203	279	0.0381095478759732
c11	s20201208	147	0.0315382965028964
c11	s20210119	215	0.0455605001059547
c11	s20210122_1	279	0.0556109228622683
c11	s20210122_2	78	0.0262008733624454
c11	s20210201	315	0.0609992254066615
c11	s20210203	239	0.0326458134134681
c12	s20201208	68	0.0145891439605235
c12	s20210119	504	0.10680228862047
c12	s20210122_1	235	0.0468407414789715
c12	s20210122_2	107	0.0359422237151495
c12	s20210201	86	0.0166537567776917
c12	s20210203	204	0.0278650457587761
c13	s20201208	21	0.0045054709289852
c13	s20210119	37	0.00784064420428057
c13	s20210122_1	18	0.00358780147498505
c13	s20210122_2	16	0.00537453812562983
c13	s20210201	22	0.00426026336173509
c13	s20210203	69	0.00942494194782134
