Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	93/158	5.77871824212102e-31	1.7856239368154e-28	6.76712943423888	471.16785611377	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPL23;RPS7;RPSA;FAU;RPL26;RPL28;RPL22L1;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;MRPL10;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RSL24D1;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;MRPL21;RPS15;RPS18;MRPL2;RPS17;MRPL9;RPS19;RPL37;RPL36;RPL39;RPS10;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;MRPS2;RPS3A;MRPS6;MRPS9;RPL37A;RPS10-NUDT3;MRPL34;RPL36A;RPS15A;RPS27A;MRPS21;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	101/232	4.94955337420353e-20	7.64705996314445e-18	3.64028899371417	161.819598899373	RPL22;RPL21;RPL24;MX2;RPL23;MAPK13;RPL26;RPL28;RPL22L1;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;PRKCB;PRKCA;RPS27;RPS26;RPS29;RPS28;PIK3R1;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS17;RPS19;RPL37;RPL36;PLCG1;RPL39;RPS10;RPL38;RPS12;RPS11;RPS14;RPS13;RPS10-NUDT3;RPS15A;RPS27A;STAT1;RPLP0;RPLP2;RPLP1;RPL18A;IKBKE;JAK1;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;IL6ST;RELA;RPS5;RPS2;RPS3;TAB2;RSL24D1;IFNAR2;IL6R;RPL13A;RPS3A;NFKBIA;RPL37A;IRF3;RPL36A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;MAPK3;RPL7A	2	KEGG_2021_Human
Spliceosome	56/150	9.93001304472735e-09	1.02279134360692e-06	2.78297872340426	51.2839082790427	HSPA1L;CWC15;HNRNPM;SNRPA;HNRNPK;DDX39B;SRSF3;HNRNPC;SNRPF;SRSF5;PPIH;SRSF6;SNRPE;SRSF8;PPIE;SRSF9;SNRPC;SF3B5;SF3B6;SF3B4;MAGOH;SNRPD2;SF3B2;TXNL4A;PRPF38A;LSM5;LSM7;TCERG1;DDX5;ZMAT2;FUS;PRPF18;PRPF19;SYF2;RBM22;USP39;PQBP1;SNU13;U2AF1L4;BCAS2;SF3A2;THOC2;THOC3;U2SURP;SNRNP40;PRPF31;RP9;RBMX;SF3A1;ISY1;U2AF2;TRA2A;PUF60;TRA2B;HNRNPA3;HNRNPA1	3	KEGG_2021_Human
NF-kappa B signaling pathway	32/104	0.000856929479998953	0.0661978023299191	2.06482532475722	14.5821163464128	UBE2I;EDAR;RELA;RELB;CARD11;GADD45B;GADD45A;TRAF1;PRKCB;TRAF2;NFKB2;TRAF5;TAB2;MAP3K14;BIRC3;PLCG1;NFKBIA;CYLD;ATM;BCL2;LAT;EDA;TRADD;TNFAIP3;PARP1;LCK;ZAP70;LTB;LTA;CD40LG;TNFRSF13C;MALT1	4	KEGG_2021_Human
Primary immunodeficiency	15/38	0.0013562543178376	0.0838165168423635	3.02438515280626	19.9701015314116	RFXANK;LCK;ZAP70;ORAI1;CD40LG;ADA;IL7R;AIRE;TNFRSF13C;IL2RG;CD3E;CD3D;CD79A;JAK3;ICOS	5	KEGG_2021_Human
Base excision repair	13/33	0.0028548079091103	0.14702260731918	3.01315269545583	17.6533105252096	LIG1;PARP3;PARP1;XRCC1;POLE3;APEX1;MPG;OGG1;POLB;NTHL1;POLD2;POLL;MUTYH	6	KEGG_2021_Human
RNA transport	47/186	0.00636873876463681	0.281134325467539	1.57116028465344	7.94434231520645	UBE2I;EIF1AY;EIF1AX;UPF3B;NUP210;UPF3A;SRRM1;RPP25L;EEF1A1;DDX39B;CLNS1A;RPP21;RAN;CYFIP2;NUP160;MAGOH;TGS1;PYM1;EIF2S3;EIF1;RNPS1;GEMIN7;GEMIN8;POP5;TPR;EIF2B1;FUS;ELAC1;PABPC1;EIF4B;STRAP;NUP43;THOC2;THOC3;THOC7;EIF3H;EIF3I;EIF3F;PABPC1L;EIF3G;TACC3;EIF3D;EIF3E;EIF4A2;NXT1;SUMO2;SUMO1	7	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	53/219	0.00980770777612591	0.36888290073859	1.4836405284283	6.86122424744686	TBPL1;TP53;RAN;IL2RG;CREB3L4;CDC26;AKT3;MYC;AKT2;STAT5B;HLA-A;HLA-B;HLA-E;HLA-F;PIK3R1;ELK1;NFATC1;KAT2A;ATM;CD3G;CD3E;CD3D;PPP3CC;CDKN2C;TNFRSF13C;JAK3;JAK1;MAP3K1;MAD2L1;RELA;CRTC1;CRTC2;GPS2;RELB;CCND3;ZFP36;CCND2;CCND1;SMAD3;NFKB2;MAP3K14;MAD1L1;ETS1;NFKBIA;SLC25A4;TBP;LCK;IL2RA;LTA;SLC25A6;POLB;MAPK3;BUB3	8	KEGG_2021_Human
Th17 cell differentiation	29/107	0.0107441621574347	0.36888290073859	1.7252041031457	7.82102773385796	FOXP3;MAPK13;IL23A;IL6ST;RELA;IL2RG;IL27RA;IL12RB1;SMAD3;STAT5B;RORC;GATA3;PLCG1;IL6R;NFATC1;NFKBIA;CD247;LAT;CD3G;CD3E;CD3D;PPP3CC;STAT1;LCK;ZAP70;IL2RA;MAPK3;JAK3;JAK1	9	KEGG_2021_Human
T cell receptor signaling pathway	28/104	0.0131872345584732	0.407485547856823	1.70927318295739	7.39859922160205	MAPK13;RELA;AKT3;AKT2;CARD11;PIK3R1;MAP3K14;RASGRP1;PLCG1;NFATC1;NFKBIA;CD28;CD247;ITK;LAT;CD3G;CD3E;CD3D;PPP3CC;CTLA4;ICOS;LCK;ZAP70;CD40LG;MALT1;MAPK3;FYN;NCK2	10	KEGG_2021_Human
