Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	97/158	4.04865344172999e-42	1.22269333940246e-39	9.67841920374707	922.45196898357	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;MRPS18A;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RSL24D1;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;MRPL11;RPL7;RPL8;MRPL20;RPS16;MRPL21;RPS15;RPS18;MRPL9;RPS19;RPL37;RPL36;RPL39;RPS10;RPL38;RPS12;RPS11;RPS14;RPS13;MRPL28;RPL13A;MRPS2;RPS3A;MRPS7;MRPL22;MRPS6;MRPS9;RPL37A;MRPS12;MRPS11;MRPL36;MRPL33;MRPL34;RPL36A;RPS15A;RPS27A;MRPS21;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	98/232	5.68054288557104e-25	5.92678263831841e-23	4.43378498717559	247.527488372108	RPL22;RPL21;RPL24;MX2;MAPK13;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;PRKCB;RPS27;RPS26;RPS29;RPS28;PIK3R1;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;TBK1;RPS19;RPL37;RPL36;RPL39;RPS10;RPL38;RPS12;RPS11;RPS14;RPS13;RPS15A;RPS27A;RPLP0;RPLP2;RPLP1;RPL18A;IKBKG;IKBKE;JAK1;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RELA;RPS5;RPS2;RPS3;DDX58;ISG15;RSL24D1;RPL13A;IRAK4;RPS3A;NFKBIB;RPL37A;IRF3;RPL36A;CASP1;RPL35A;RPL23A;UBA52;PIK3CD;RPL10A;RPS4X;MAPK3;MAPK1;RPL7A	2	KEGG_2021_Human
Spliceosome	75/150	5.88753242217061e-25	5.92678263831841e-23	6.03401842664777	336.648691079301	PPIL1;ALYREF;CWC15;CRNKL1;WBP11;HNRNPM;PHF5A;SNRPA;HNRNPK;SRSF3;SRSF4;HNRNPC;SNRNP27;SNRPF;SRSF5;PPIH;SRSF6;SRSF8;PPIE;SNRPB;SRSF9;SNRPC;SF3B5;SF3B6;SF3B4;MAGOH;SNRPD2;SNRPD1;DHX38;SF3B1;BUD31;LSM2;LSM5;LSM3;LSM8;SNW1;LSM7;SNRNP200;DDX5;ZMAT2;SNRNP70;CCDC12;RBM17;MAGOHB;PRPF18;PRPF19;SYF2;SLU7;RBM22;USP39;DDX46;RBM8A;PQBP1;SNU13;U2AF1L4;PLRG1;CTNNBL1;BCAS2;SF3A3;THOC2;CDC40;U2SURP;SNRNP40;PRPF31;ACIN1;RP9;SNRPA1;SF3A1;ISY1;U2AF2;PUF60;TRA2B;SNRPB2;SMNDC1;HNRNPA1	3	KEGG_2021_Human
Parkinson disease	74/249	4.40864576404586e-10	3.32852755185462e-08	2.53564495723901	54.6235821961368	PSMC4;PSMC5;PSMC3;UQCRC2;PSMC1;CALM3;CALM1;UQCR10;UBE2L6;UBE2L3;PSMD9;PSMD6;PSMD4;PSMD2;DAXX;XBP1;COX7A2L;UBE2J1;UBE2J2;PRKACB;UBE2G1;COX7C;RPS27A;ATP5PB;TUBB4A;PSMA5;PSMA2;PSMA1;ATP5PO;NDUFA12;NDUFA10;ATP5F1B;PSMB1;PSMB2;SDHC;SDHA;TUBA4A;PARK7;MFN2;NDUFV1;TXN2;UQCRB;HTRA2;ATP5MC2;UBC;CYC1;APAF1;NDUFC2;NDUFS8;NDUFS6;CYCS;NDUFS2;MCU;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB8;NDUFB7;UBA7;UQCRFS1;CASP3;COX4I1;NDUFA9;NDUFA6;ADRM1;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC3;SLC25A6;UBA52;CAMK2G	4	KEGG_2021_Human
Amyotrophic lateral sclerosis	94/364	7.63449193837506e-09	4.61123313077854e-07	2.09075197209339	39.0773867401583	BAD;NUP210;MAPK13;CCS;PSMC4;PSMC5;PSMC3;UQCRC2;PSMC1;PFN1;UQCR10;PSMD9;ACTB;PSMD6;PSMD4;PSMD2;SIGMAR1;GABARAPL2;DAXX;XBP1;COX7A2L;ATG2A;POM121;TBK1;POM121C;SEC13;COX7C;ACTR1B;ATP5PB;TUBB4A;PSMA5;HNRNPA2B1;PSMA2;PSMA1;ATP5PO;NDUFA12;NDUFA10;DERL1;ATP5F1B;PSMB1;PSMB2;RAB8A;ALYREF;SDHC;SDHA;TUBA4A;ATXN2L;SRSF3;NUP160;RAE1;NDUFV1;MAP2K3;TRAF2;DNAL4;UQCRB;ATP5MC2;CYC1;APAF1;NDUFC2;WIPI2;NUP133;TNFRSF1B;NUP50;NDUFS8;NUP54;NDUFS6;CYCS;NDUFS2;MCU;PSMD11;NDUFB9;PSMD13;NDUFB8;NDUFB7;UQCRFS1;CASP3;COX4I1;CASP1;NDUFA9;NDUFA6;ADRM1;NDUFA3;NDUFA2;NDUFA1;UQCRHL;BECN1;NXT1;NXT2;DCTN3;DCTN2;DCTN5;RB1CC1;DCTN1;HNRNPA1	5	KEGG_2021_Human
RNA transport	56/186	3.41135519518817e-08	1.66653730098751e-06	2.57354669265968	44.2484580745759	UBE2I;EIF1AY;ALYREF;UPF3B;NUP210;RPP25L;EEF1A1;CLNS1A;POP1;RAN;NUP160;PNN;MAGOH;TGS1;SAP18;RAE1;EIF2B5;EIF1;RNPS1;GEMIN8;EIF4G2;POP7;POM121;POP5;POP4;PHAX;AAAS;POM121C;EIF2B2;EIF2B1;SEC13;ELAC1;NUP133;MAGOHB;SENP2;DDX19B;NUP50;NUP54;EIF4B;STRAP;RBM8A;FXR1;NUP42;THOC2;TRNT1;THOC5;THOC7;EIF3H;EIF3I;ACIN1;EIF3F;EIF3G;EIF3D;NXT1;NXT2;SUMO1	6	KEGG_2021_Human
mRNA surveillance pathway	36/98	3.86283480361344e-08	1.66653730098751e-06	3.45850199005536	59.0341368599587	CPSF1;CPSF4;ALYREF;UPF3B;PPP1CA;WDR82;RNMT;PNN;MAGOH;CLP1;SAP18;RNPS1;GSPT2;PAPOLG;CSTF2;PAPOLA;PPP2R5C;PPP2R5B;PPP2R5E;PPP2R5D;PPP2R5A;WDR33;MAGOHB;DDX19B;DAZAP1;RBM8A;PCF11;RNGTT;PPP2CA;NUDT21;ACIN1;NXT1;NXT2;PPP2R2B;CSTF2T;FIP1L1	7	KEGG_2021_Human
Huntington disease	80/306	5.54247949855321e-08	2.09228601070383e-06	2.12075232234128	35.4340361957741	PSMC4;PSMC5;PSMC3;UQCRC2;PSMC1;TFAM;UQCR10;PSMD9;PSMD6;PSMD4;PSMD2;COX7A2L;ATG2A;COX7C;CLTB;ACTR1B;ATP5PB;TUBB4A;PSMA5;PSMA2;PSMA1;ATP5PO;PLCB1;NDUFA12;NDUFA10;ATP5F1B;PSMB1;PSMB2;SDHC;SDHA;TUBA4A;NDUFV1;TRAF2;CREB3;DNAL4;UQCRB;ATP5MC2;CYC1;APAF1;NDUFC2;WIPI2;NDUFS8;NDUFS6;CYCS;NDUFS2;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB8;NDUFB7;UQCRFS1;CASP3;COX4I1;NDUFA9;NDUFA6;ADRM1;NDUFA3;NDUFA2;NDUFA1;UQCRHL;REST;VDAC3;SLC25A6;BECN1;DCTN3;DCTN2;DCTN5;RB1CC1;DCTN1;POLR2B;POLR2C;POLR2D;SIN3A;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2L	8	KEGG_2021_Human
Thermogenesis	64/232	1.43921522378489e-07	4.82936663981153e-06	2.27724270082195	35.8756762014312	ACSL5;FRS2;PRKAB2;MAPK13;SMARCA4;UQCRC2;ATF2;SMARCB1;UQCR10;ACTB;COX7A2L;NDUFAF8;NDUFAF6;NDUFAF3;NDUFAF4;NDUFAF2;PRKACB;SIRT6;COX7C;ATP5MG;ATP5PB;ATP5PO;NDUFA12;NDUFA10;PRKAG2;RPTOR;ATP5F1B;RPS6;SDHC;SDHA;NRAS;NDUFV1;MAP2K3;CREB3;COX16;UQCRB;COX19;ATP5MC2;COX14;CYC1;COX11;COA1;SMARCE1;NDUFC2;NDUFS8;AKT1S1;NDUFS6;NDUFS2;NDUFB9;NDUFB8;NDUFB7;UQCRFS1;COX4I1;NDUFA9;CPT1A;NDUFA6;NDUFA3;NDUFA2;NDUFA1;UQCRHL;RPS6KB2;KRAS;SMARCD1;SLC25A20	9	KEGG_2021_Human
Pathways of neurodegeneration	108/475	7.67001902022193e-07	2.31634574410702e-05	1.76587860248954	24.8649420262563	BAD;CCS;PSMC4;PSMC5;PSMC3;UQCRC2;PSMC1;PSMD9;PSMD6;PSMD4;PSMD2;SIGMAR1;GABARAPL2;DAXX;PRKCB;ATG2A;TBK1;CSNK1A1;BRAF;RPS27A;TUBB4A;PSMA5;PSMA2;PSMA1;PLCB1;NDUFA12;NDUFA10;PSMB1;PSMB2;TUBA4A;ATXN2L;PARK7;NRAS;MFN2;MAP2K3;TRAF2;UQCRB;APAF1;NDUFC2;WIPI2;TNFRSF1B;MCU;NDUFB9;SLC25A4;NDUFB8;NDUFB7;COX4I1;NDUFA9;NDUFA6;ADRM1;NDUFA3;NDUFA2;NDUFA1;SLC25A6;UBA52;BECN1;BAK1;MAPK13;CALM3;CALM1;UQCR10;UBE2L6;UBE2L3;XBP1;COX7A2L;CSNK2B;UBE2J1;UBE2J2;UBE2G1;COX7C;ACTR1B;ATP5PB;ATP5PO;DERL1;ATP5F1B;RAB8A;SDHC;SDHA;FAS;PPID;RELA;CAPN2;NDUFV1;DNAL4;HTRA2;ATP5MC2;UBC;CYC1;NDUFS8;NDUFS6;CYCS;NDUFS2;PSMD11;PSMD13;UBA7;UQCRFS1;CASP3;UQCRHL;VDAC3;KRAS;DCTN3;DCTN2;DCTN5;RB1CC1;DCTN1;MAPK3;MAPK1;CAMK2G	10	KEGG_2021_Human
