Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ubiquitin mediated proteolysis	17/140	0.000154147664207196	0.0383827683875919	3.02409051740287	26.5442555842912	HUWE1;HERC4;HERC2;HERC1;PIAS1;PIAS2;BIRC6;MDM2;UBE2G2;KLHL9;UBR5;WWP2;ITCH;XIAP;ANAPC5;TRIP12;CBL	1	KEGG_2021_Human
Lysine degradation	10/63	0.000415167467817858	0.0516883497433233	4.11040431266846	32.0070137863762	SETDB2;ASH1L;DOT1L;PRDM2;NSD1;KMT2B;KMT2A;KMT2C;EHMT1;SETD2	2	KEGG_2021_Human
Endocytosis	23/252	0.00085547383843809	0.0710043285903615	2.20051874892349	15.5441454673762	RUFY2;ZFYVE16;RAB11FIP1;RAB11FIP2;RAB11FIP4;EHD4;TFRC;PIP5K1A;CLTC;ITCH;EEA1;GIT2;ACAP2;IGF2R;SMAD2;MDM2;ARFGEF1;ARAP1;ARAP2;AGAP9;GRK3;CBL;CYTH1	3	KEGG_2021_Human
Phosphatidylinositol signaling system	11/97	0.00370565526467241	0.186545181939949	2.78483050396466	15.5891892449881	DGKH;DGKG;MTMR3;MTMR4;DGKZ;INPP4A;PPIP5K1;PIP5K1A;PIKFYVE;ITPR2;ITPR1	4	KEGG_2021_Human
Regulation of actin cytoskeleton	19/218	0.00387445576713258	0.186545181939949	2.08550837327515	11.5815580774536	SPATA13;NCKAP1L;PIP5K1A;FN1;BRAF;ARHGEF1;IQGAP1;GSN;ROCK1;ARHGEF12;SSH2;DIAPH1;DIAPH2;PPP1R12B;PIKFYVE;MYH9;TIAM1;ITGAX;ITGB8	5	KEGG_2021_Human
Proteoglycans in cancer	18/205	0.004495064625059	0.186545181939949	2.10143774401865	11.3577986747975	FN1;BRAF;VEGFA;ARHGEF1;IQGAP1;STAT3;CTNNB1;ROCK1;FLNA;ARHGEF12;SMAD2;MDM2;PPP1R12B;ITPR2;ITPR1;TIAM1;CAMK2D;CBL	6	KEGG_2021_Human
D-Glutamine and D-glutamate metabolism	2/5	0.0178886702031305	0.573748408374831	14.4295960739902	58.0587455112792	DGLUCY;GLS	7	KEGG_2021_Human
Thyroid hormone signaling pathway	11/121	0.0184336838032074	0.573748408374831	2.17448512585812	8.68397084223928	TSC2;MED13L;CREBBP;SLC16A10;MDM2;NCOR1;GSK3B;MED13;CTNNB1;ATP2A2;EP300	8	KEGG_2021_Human
Human cytomegalovirus infection	17/225	0.0226215937480845	0.5791628575001	1.78028070719603	6.74521718643494	VEGFA;ARHGEF1;STAT3;CTNNB1;AKAP13;IKBKB;TSC2;TSC1;ROCK1;ARHGEF12;CREB1;MDM2;IL6R;SP1;GSK3B;ITPR2;ITPR1	9	KEGG_2021_Human
TGF-beta signaling pathway	9/94	0.0232595525100442	0.5791628575001	2.30016116035455	8.65099668300669	SP1;ZFYVE16;ROCK1;CREBBP;SMAD2;INHBA;SMAD7;FBN1;EP300	10	KEGG_2021_Human
Pathogenic Escherichia coli infection	15/197	0.0291199424705322	0.659169606832956	1.79357711254263	6.34268419361118	NAIP;NCKAP1L;MYO5A;OCLN;ARHGEF2;ARHGEF1;MYO6;IKBKB;SEC24B;ROCK1;ARHGEF12;TAB2;MYH9;MYO1F;CYTH1	11	KEGG_2021_Human
Focal adhesion	15/201	0.0339349939561467	0.704151124590045	1.7546347793845	5.9364708107348	TLN1;PIP5K1A;FN1;BRAF;VEGFA;RAPGEF1;XIAP;CTNNB1;ROCK1;FLNA;DIAPH1;PPP1R12B;LAMB1;GSK3B;ITGB8	12	KEGG_2021_Human
Phagosome	12/152	0.0376803476812875	0.721723582510815	1.86303387334315	6.10817378742899	DYNC2H1;STX7;MSR1;CYBB;TFRC;ATP6V0A1;PIKFYVE;CLEC7A;DYNC1H1;TCIRG1;EEA1;MRC1	13	KEGG_2021_Human
Yersinia infection	11/137	0.0409017645800581	0.727467098602461	1.89676183211652	6.06315486947896	ROCK1;ARHGEF12;TAB2;ARHGEF28;PIP5K1A;FN1;GSK3B;ARHGEF1;PKN2;IKBKB;GIT2	14	KEGG_2021_Human
Transcriptional misregulation in cancer	14/192	0.046457870221619	0.771200645678875	1.71001947909545	5.24840784883688	RUNX1;CCNT2;MAF;MDM2;KMT2A;JMJD1C;FUS;NCOR1;SP1;ATM;REL;DOT1L;AFF1;PPARG	15	KEGG_2021_Human
HIF-1 signaling pathway	9/109	0.0524999497920666	0.816895427888255	1.95359589041096	5.75713586247857	CREBBP;CYBB;TFRC;IL6R;VEGFA;MKNK1;STAT3;CAMK2D;EP300	16	KEGG_2021_Human
Tuberculosis	13/180	0.0570034299223642	0.816895427888255	1.69150689446794	4.84556480366302	ARHGEF12;CREBBP;CREB1;ATP6V0A1;CLEC7A;CIITA;CAMK2D;TCIRG1;EEA1;EP300;MRC1;ITGAX;JAK2	17	KEGG_2021_Human
NOD-like receptor signaling pathway	13/181	0.0590526815340907	0.816895427888255	1.6813496614242	4.7570851791368	NAIP;NLRP1;CYBB;MAVS;TAB2;TRPM7;OAS3;ITPR2;ITPR1;STAT2;XIAP;PKN2;IKBKB	18	KEGG_2021_Human
Prostate cancer	8/97	0.0655388982749151	0.854528376584078	1.95005957490423	5.3141296675974	CREBBP;CREB1;MDM2;BRAF;GSK3B;CTNNB1;IKBKB;EP300	19	KEGG_2021_Human
Choline metabolism in cancer	8/98	0.0687417172892065	0.854528376584078	1.92829089066261	5.16280415151478	TSC2;TSC1;DGKH;DGKG;DGKZ;PIP5K1A;GPCPD1;SP1	20	KEGG_2021_Human
Long-term potentiation	6/67	0.0755192037359409	0.854528376584078	2.13215464667375	5.50814072694291	BRAF;ITPR2;ITPR1;CREBBP;CAMK2D;EP300	21	KEGG_2021_Human
Autophagy	10/137	0.0828431530658714	0.854528376584078	1.70870641169854	4.25605649187711	TSC2;TSC1;ATG16L2;MTMR3;MTMR4;ATG2B;CFLAR;ITPR1;DAPK1;VMP1	22	KEGG_2021_Human
Insulin signaling pathway	10/137	0.0828431530658714	0.854528376584078	1.70870641169854	4.25605649187711	TSC2;TSC1;PPP1R3E;BRAF;PDE3B;RAPGEF1;GSK3B;MKNK1;CBL;IKBKB	22	KEGG_2021_Human
Renal cell carcinoma	6/69	0.0844052254748021	0.854528376584078	2.06425050111057	5.10308726430605	BRAF;VEGFA;RAPGEF1;CREBBP;FLCN;EP300	24	KEGG_2021_Human
Hepatitis C	11/157	0.0891903836870435	0.854528376584078	1.63520736027084	3.95226684010282	PIAS1;OCLN;MAVS;CFLAR;BRAF;OAS3;GSK3B;STAT2;STAT3;CTNNB1;IKBKB	25	KEGG_2021_Human
