Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	87/158	3.82868617193825e-62	1.0414026387672e-59	19.4317733076454	2747.9977385185	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPL23;RPS7;RPSA;FAU;RPL26;RPL28;RPL22L1;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RSL24D1;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;MRPL20;RPS16;MRPL21;RPS15;RPS18;MRPL2;RPS17;MRPL9;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;MRPS2;RPS3A;RPL37A;RPL36A;RPS15A;RPS27A;MRPS21;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	87/232	1.03293366650346e-44	1.40478978644471e-42	9.47714528462192	959.857984397425	RPL22;RPL21;RPL24;MX2;RPL23;RPL26;RPL28;RPL22L1;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS17;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPS15A;RPS27A;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RELA;RPS5;RPS2;RPS3;TAB2;RSL24D1;IFNAR2;RPL13A;RPS3A;RPL37A;IRF3;RPL36A;RPL35A;RPL23A;UBA52;PIK3CD;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Spliceosome	35/150	1.06524053519431e-11	9.65818085242838e-10	4.61127816888952	116.505028407121	PPIL1;HNRNPM;HNRNPK;SRSF3;HNRNPC;SNRPF;SRSF5;PPIH;SRSF6;PPIE;SNRPC;SRSF1;SNRPD2;LSM5;LSM7;PRPF19;SYF2;PQBP1;SNU13;BCAS2;SF3A2;THOC2;U2SURP;SNRNP40;PRPF31;RP9;RBMX;SF3A1;ISY1;U2AF2;TRA2A;TRA2B;SRSF10;HNRNPA3;HNRNPA1	3	KEGG_2021_Human
RNA transport	29/186	5.87476644723055e-06	0.000399484118411677	2.77877717321231	33.4699382634308	EIF1AX;UPF3A;SRRM1;RPP25L;EEF1A1;CLNS1A;RPP21;NUP160;PNN;NUP88;RPP14;RNPS1;POP5;EIF2B1;ELAC1;SENP2;PABPC1;STRAP;NUP43;THOC2;THOC7;EIF3H;EIF3I;EIF3F;TACC3;EIF3D;EIF3E;EIF4A2;NXT1	4	KEGG_2021_Human
RNA degradation	15/79	0.000110460480788804	0.00600905015491096	3.50380304243395	31.9226335527163	CNOT7;CNOT8;CNOT2;PABPC1;ZCCHC7;BTG2;BTG1;EXOSC8;EXOSC7;EXOSC6;EXOSC5;EXOSC9;EXOSC2;LSM5;LSM7	5	KEGG_2021_Human
RNA polymerase	8/31	0.000530352585983485	0.0229990313837428	5.18222099141512	39.0841475603655	POLR3GL;POLR3C;POLR3E;POLR1D;POLR2C;POLR2D;POLR2H;POLR2I	6	KEGG_2021_Human
Nucleotide excision repair	10/47	0.000591886837081616	0.0229990313837428	4.03013060907798	29.9527169447198	RPA2;GTF2H3;RPA1;GTF2H4;CUL4B;ERCC4;MNAT1;XPA;XPC;POLD2	7	KEGG_2021_Human
Purine metabolism	17/129	0.00314685172238903	0.106992958561227	2.2669263374957	13.0605623546384	HDDC3;NT5E;NT5C3B;NT5C3A;AK3;AK5;DGUOK;PAICS;NME3;NME4;ADK;ATIC;ADSL;DCK;GMPR2;PRPS1;NUDT2	8	KEGG_2021_Human
Basal transcription factors	8/45	0.00661134496329555	0.199809536668488	3.21897056291961	16.1559108012322	TAF15;GTF2F1;GTF2H3;GTF2H4;TAF8;TAF7;TAF6;MNAT1	9	KEGG_2021_Human
Sulfur relay system	3/8	0.0110886517484257	0.30161132755718	8.91245043616178	40.1223640070224	CTU2;URM1;MOCS2	10	KEGG_2021_Human
