Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Spliceosome	71/150	1.17390753094223e-13	3.69780872246801e-11	3.55011206161811	105.698438744882	CWC15;CHERP;CRNKL1;WBP11;HNRNPM;SNRPA;HNRNPK;DDX39B;SRSF4;SRSF5;SRSF6;SRSF7;SRSF8;SF3B3;SRSF1;SRSF2;HNRNPU;RBMXL1;EFTUD2;SNRPD3;DHX38;SF3B1;SF3B2;AQR;PRPF38B;PRPF38A;PRPF6;LSM8;PRPF8;SNW1;PRPF4;SNRNP200;TCERG1;SNRNP70;DHX15;DHX16;CCDC12;RBM17;FUS;NCBP2;CDC5L;PRPF40A;PRPF18;SYF2;SLU7;RBM22;DHX8;USP39;DDX46;DDX42;U2AF1L4;PLRG1;BCAS2;SF3A2;SF3A3;THOC2;CDC40;U2SURP;XAB2;SNRNP40;PRPF31;ACIN1;RP9;SNRPA1;RBMX;SF3A1;DDX23;U2AF2;TRA2B;HNRNPA3;SMNDC1	1	KEGG_2021_Human
Ubiquitin mediated proteolysis	66/140	1.07428663245942e-12	1.69200144612358e-10	3.51980747871159	97.0036564743176	UBE2H;FBXW7;PPIL2;FBXW11;HUWE1;UBE2B;PML;UBE2W;UBE2Z;CDC16;UBE2K;UBE2D3;UBE2D2;UBE3A;UBE3B;UBE3C;RCHY1;CDC23;HERC4;HERC2;HERC1;CDC27;SIAH1;PIAS4;FANCL;PIAS1;PIAS2;UBA3;UBA2;BIRC2;MDM2;SAE1;CUL5;CUL3;CUL2;CUL1;ANAPC10;UBE2J1;COP1;SMURF1;UBE2G2;UBE2G1;CUL4A;KLHL9;UBA7;UBA6;UBR5;UBE2Q2;UBE4A;SYVN1;UBE4B;WWP2;UBE2E1;ITCH;DDB2;DDB1;XIAP;ERCC8;ANAPC5;TRIP12;ANAPC7;ANAPC2;MGRN1;CBL;VHL;FBXO4	2	KEGG_2021_Human
Protein processing in endoplasmic reticulum	71/171	2.37006727288105e-10	1.9188544110969e-08	2.80087032418953	62.0755001883842	SEC24A;SEC24C;MOGS;ERN1;DNAJB11;RNF185;PREB;SEC24D;PLAA;ATF6B;UBE2D3;UBXN2A;PPP1R15A;UBE2D2;CAPN1;CAPN2;MAP3K5;PDIA4;PDIA3;XBP1;EDEM1;TRAF2;DNAJC10;STT3B;HYOU1;STT3A;ATF6;ATF4;VCP;CUL1;UBE2J1;BAG2;SEC31A;SEC63;MAP2K7;HSPA5;EIF2AK2;EIF2AK1;RAD23B;UBE2G2;UBE2G1;NFE2L2;TRAM1;SAR1B;SEL1L;DNAJB2;ATXN3;DNAJB1;SSR1;UBXN8;MAN1A2;UBXN4;SYVN1;UBE4B;DNAJA2;CANX;MAN1B1;SEC23B;ERO1A;PRKCSH;DERL2;HERPUD1;LMAN1;MAPK9;GANAB;MAPK8;OS9;SEC61A1;UBQLN1;BAK1;UGGT1	3	KEGG_2021_Human
mRNA surveillance pathway	48/98	2.43664052202781e-10	1.9188544110969e-08	3.77739647904786	83.6135424130645	CPSF6;CPSF1;CPSF3;UPF3B;UPF3A;SRRM1;PPP1CB;DDX39B;WDR82;TARDBP;RNMT;CASC3;NXF1;PPP1CC;CLP1;PABPN1;GSPT2;GSPT1;GLE1;CSTF2;CSTF1;PAPOLA;UPF2;FUS;NCBP2;PPP2R5C;PPP2R5B;PPP2R5E;PPP2R5D;PPP2R5A;WDR33;DDX19A;DDX19B;ETF1;PABPC4;PCF11;SYMPK;PPP2R3C;PPP2CA;NUDT21;PPP2R2D;ACIN1;SMG5;NXT1;PPP2R2A;CSTF2T;SMG7;FIP1L1	4	KEGG_2021_Human
Salmonella infection	91/249	2.38238443956957e-09	1.50090219692883e-07	2.27507217410615	45.171931095566	MAPK13;MAPK14;DYNC1LI1;DYNC1LI2;NAIP;LEF1;AHNAK;NOD1;AKT1;AKT2;VPS11;VPS16;VPS18;NCKAP1L;GCC2;TNFSF10;JUN;RIPK3;PTPRC;EXOC5;EXOC7;PLEKHM1;ACTR10;TLR5;ACTR1B;RIPK2;RIPK1;SNX9;DYNC1I2;FOS;DYNLL2;SNX18;PKN1;DYNC1H1;CTNNB1;WASL;TUBA1A;HRAS;ABI1;ELMO1;ELMO2;ARL8B;RAF1;RELA;ROCK2;KIF5B;CSE1L;KPNA3;MAP3K7;KPNA4;KPNA1;MAP2K4;M6PR;TNFRSF10B;TRAF2;NFKB1;TCF7;RAB5A;TAB1;ACBD3;BIRC2;RAB5B;FBXO22;MLKL;MAP2K7;ACTR3;ACTR2;IRAK4;NFKBIA;PIK3CB;PIK3CA;KLC1;CASP7;DYNC2LI1;CASP3;CHUK;DYNLT3;VPS33A;VPS41;DCTN6;DCTN5;DCTN4;DCTN1;PIK3C2A;PIK3CG;CYTH4;MAPK9;MAPK8;MAPK3;BAK1;VPS39	5	KEGG_2021_Human
RNA degradation	39/79	8.65732926151335e-09	4.54509786229451e-07	3.83028822365166	71.1087629513954	HSPA9;PNPT1;DIS3;CNOT10;CNOT6;CNOT7;CNOT8;CNOT1;XRN2;CNOT2;CNOT3;PABPC4;CNOT9;DCP1B;DCP1A;BTG3;ZCCHC7;BTG1;PARN;TENT4B;TOB2;TOB1;EXOSC8;EXOSC10;EXOSC6;DHX36;EXOSC9;EXOSC1;CNOT6L;TTC37;PATL1;LSM8;SKIV2L;DCP2;PFKP;DIS3L;HSPD1;EDC4;MTREX	6	KEGG_2021_Human
RNA transport	71/186	1.70986162558625e-08	7.69437731513811e-07	2.43322996855687	43.5165375869984	NUP214;UPF3B;UPF3A;SRRM1;NUP93;DDX39B;NUP98;RPP21;EIF1B;TARDBP;GEMIN4;CASC3;NXF1;NUP85;TGS1;RPP14;EIF2B5;SNUPN;EIF2B4;EIF2B3;EIF2S3;EIF4G1;GEMIN5;GEMIN8;EIF4G3;EIF4G2;FMR1;POP5;RPP30;AAAS;GLE1;TPR;NUP62;EIF2B1;EIF5B;UPF2;FUS;NCBP2;ELAC2;NDC1;DDX19A;DDX19B;NUP50;NUP54;NUP58;PABPC4;EIF4B;SEH1L;STRAP;NMD3;FXR2;FXR1;NUP42;EIF4E;EIF3A;RANBP2;THOC2;THOC5;RANGAP1;KPNB1;XPOT;EIF3J;ACIN1;TACC3;EIF3B;EIF4A2;NXT1;DDX20;NUP188;XPO1;XPO5	7	KEGG_2021_Human
Yersinia infection	53/137	6.50126322314918e-07	2.47658236195349e-05	2.48041979949875	35.3363063995537	TICAM1;MAPK13;MAPK14;CD4;ELMO1;ELMO2;RELA;ROCK1;ROCK2;CRKL;AKT1;AKT2;MAP3K7;FYB1;MAP2K4;TRAF2;NFKB1;GNAQ;TAB1;TBK1;MAP2K7;ACTR3;ACTR2;JUN;NFATC3;IRAK4;NFATC1;VAV1;NFKBIA;PIK3CB;PIK3CA;IRF3;LCP2;LAT;GSK3B;WASF2;CHUK;FOS;LCK;PKN1;PKN2;ITGB1;WIPF1;WIPF2;WAS;WASL;MAPK9;MAPK8;RPS6KA3;RPS6KA2;MAPK3;PTK2B;GIT2	8	KEGG_2021_Human
Hepatitis B	60/162	7.0759496055814e-07	2.47658236195349e-05	2.31388153371271	32.7677880602831	TICAM1;MAPK13;MAPK14;TP53;RAF1;ATF2;RB1;RELA;ATF6B;ARAF;CREB3L2;AKT1;AKT2;E2F3;STAT6;MAP3K7;MAP2K4;CREBBP;SMAD4;DDX58;NFKB1;CREB1;MAVS;GRB2;TAB1;ATF4;IFNAR1;TBK1;MAP2K7;STAT5A;JUN;NFATC3;IRAK4;NFATC1;TYK2;TGFBR2;NFKBIA;PIK3CB;PIK3CA;IRF3;SOS2;DDX3X;CASP10;CASP3;STAT1;CHUK;STAT2;STAT4;FOS;YWHAZ;DDB2;DDB1;IFIH1;MAPK9;MAPK8;MAPK3;PTK2B;HRAS;JAK3;JAK2	9	KEGG_2021_Human
Mitophagy	31/68	2.53972970476869e-06	8.00014857002136e-05	3.28556556556557	42.3294292073919	ATG9A;USP8;JUN;SP1;PINK1;TAX1BP1;TP53;OPTN;RELA;FOXO3;BCL2L13;RHOT1;RHOT2;TFE3;TBC1D15;USP30;MFN1;TBC1D17;CSNK2A2;CSNK2A1;NBR1;ATF4;BECN1;CALCOCO2;HIF1A;MAPK9;MAPK8;TBK1;BNIP3;HRAS;ATG5	10	KEGG_2021_Human
