Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Protein processing in endoplasmic reticulum	60/171	1.16243606472454e-15	3.65004924323506e-13	4.13793103448276	142.296242218056	MOGS;ERN1;NSFL1C;SELENOS;DNAJB11;DNAJB12;BAX;HSP90B1;CAPN2;PDIA4;PDIA3;XBP1;EDEM2;EIF2S1;PDIA6;DDOST;STT3B;ATF6;VCP;NGLY1;CUL1;HSPBP1;SEC31A;SEC63;SIL1;SEC62;SEC13;HSPA5;SSR3;EIF2AK1;RAD23B;UBE2G2;RAD23A;DNAJC3;DNAJC1;DNAJC5;SAR1A;TRAM1;RPN1;RPN2;ERLEC1;SSR1;MAN1A2;SYVN1;DNAJA2;DNAJA1;DAD1;MAN1B1;DDIT3;SEC23B;PRKCSH;DERL2;DERL1;HERPUD1;LMAN1;LMAN2;GANAB;OS9;SEC61A1;UBQLN2	1	KEGG_2021_Human
Spliceosome	49/150	9.68669739416238e-12	1.52081149088349e-09	3.69825635908508	93.788770824814	WBP11;PHF5A;DDX39B;SRSF4;SNRNP27;SNRPG;SRSF1;SRSF2;HNRNPU;EFTUD2;SNRPD3;SF3B1;SF3B2;PRPF38A;PRPF6;LSM8;SNW1;PRPF4;TCERG1;SNRNP70;DHX16;CCDC12;NCBP2;CDC5L;PRPF40A;MAGOHB;PRPF18;RBM22;USP39;DDX46;RBM8A;DDX42;PLRG1;SF3A3;THOC2;THOC3;CDC40;U2SURP;XAB2;SNRNP40;ACIN1;RP9;SNRPA1;SF3A1;EIF4A3;U2AF2;TRA2A;SRSF10;SMNDC1	2	KEGG_2021_Human
Endocytosis	65/252	5.21255100369348e-10	5.45580338386584e-08	2.655152731577	56.7533096405381	PML;RUFY1;VPS29;RAB11FIP1;MVB12A;HLA-A;ARFGAP2;ARFGAP3;ARF4;ARPC1A;ARF3;ARF1;CLTB;CLTA;SNX4;SNX5;SNX2;SNX1;CCR5;SNX6;WWP1;RAB11A;ARF6;AP2A2;EEA1;RAB8A;GIT2;SH3GLB1;ACAP2;CAPZA2;CAPZA1;STAMBP;WASHC2C;ACAP1;WASHC2A;LDLR;SMAD3;VTA1;ARPC5;HGS;CHMP2B;CHMP2A;CHMP7;RAB5B;CHMP5;SH3KBP1;CHMP1A;WASHC1;RAB4A;AP2M1;ARAP1;DNM2;RABEP1;VPS4A;VPS4B;AGAP2;GRK2;CDC42;SMAP1;WIPF1;CYTH4;PSD4;VPS36;CYTH2;CYTH1	3	KEGG_2021_Human
RNA transport	50/186	1.16879031998656e-08	9.17500401189446e-07	2.79817598486592	51.1078769346243	UBE2I;EIF1AY;NUP210;UPF3A;NUP93;DDX39B;RPP21;EIF1B;TARDBP;CYFIP2;PNN;TGS1;RAE1;EIF2B5;SNUPN;EIF2B4;EIF2S2;EIF2S1;EIF5;GEMIN6;POP7;POM121;EIF4EBP1;RPP30;PHAX;AAAS;TPR;NUP62;EIF2B2;EIF5B;SEC13;NCBP2;MAGOHB;NUP54;PABPC4;EIF4E2;RBM8A;FXR1;NUP42;EIF4E;THOC2;THOC3;THOC5;KPNB1;EIF3J;ACIN1;EIF4A3;EIF4A2;NXT1;PAIP1	4	KEGG_2021_Human
Epstein-Barr virus infection	51/202	7.76057849845707e-08	4.87364329703104e-06	2.56953066513101	42.0673895559364	PSMC6;PSMC2;VIM;BAX;RB1;PSMD8;PSMD6;PSMD1;AKT2;E2F3;PSMD2;HLA-A;SNW1;HLA-DRB1;RBPJ;JUN;STAT1;STAT3;CD44;CDKN1B;RAC1;HLA-DMA;IKBKE;JAK1;TAP2;TAP1;TNF;RELB;CIR1;PDIA3;NFKB2;IFNAR1;IFNAR2;IRAK4;OAS1;TAPBP;NFKBIB;OAS2;OAS3;CDK4;IRF3;HLA-DRA;IRF9;IRF7;CD247;PSMD11;PSMD14;TNFAIP3;ADRM1;HDAC2;SIN3A	5	KEGG_2021_Human
RNA degradation	26/79	5.79356187931704e-07	3.03196405017592e-05	3.71268817204301	53.3192082306457	HSPA9;CNOT10;CNOT7;CNOT1;XRN2;CNOT2;PABPC4;DCP1A;ZCCHC7;BTG2;PARN;EXOSC5;EXOSC9;EXOSC1;CNOT6L;TTC37;PATL1;LSM8;SKIV2L;PFKP;DDX6;DIS3L;ENO1;HSPD1;NUDT16;DCPS	6	KEGG_2021_Human
N-Glycan biosynthesis	19/50	1.63935661003824e-06	7.3536853650287e-05	4.63041553698888	61.6827224938945	MOGS;ALG13;ALG12;B4GALT3;B4GALT1;RPN1;RPN2;MAN1A2;ALG8;ST6GAL1;ALG5;ALG3;ALG1;DDOST;DAD1;MAN1B1;STT3B;GANAB;MGAT1	7	KEGG_2021_Human
Citrate cycle (TCA cycle)	14/30	2.14431823403177e-06	8.41644906857472e-05	6.60200042789902	86.1738576747645	PDHA1;SDHD;SDHB;CS;SDHA;ACLY;SUCLA2;DLD;SUCLG2;OGDH;DLST;PDHB;MDH1;IDH3A	8	KEGG_2021_Human
mRNA surveillance pathway	28/98	5.16192979776957e-06	0.000180093995166627	3.02694791218252	36.8506694437345	CPSF6;CPSF7;CPSF1;UPF3A;PPP1CB;DDX39B;WDR82;TARDBP;RNMT;PNN;PPP1CC;GSPT1;PAPOLA;NCBP2;PPP2R5E;WDR33;MAGOHB;PABPC4;DAZAP1;RBM8A;PCF11;PPP2CA;NUDT21;ACIN1;EIF4A3;NXT1;CSTF2T;FIP1L1	9	KEGG_2021_Human
Lysosome	33/128	9.01038410269525e-06	0.000282926060824631	2.63058898324327	30.5599017092951	AP1B1;CD68;ATP6V0D1;ASAH1;GGA1;LAPTM4A;LAMP1;ARSA;ATP6V0C;ATP6V0B;ATP6AP1;M6PR;TPP1;NAGPA;AP1S2;ATP6V1H;CTSA;SUMF1;NPC2;GNPTG;DNASE2;MAN2B1;CTSZ;CLTB;CLTA;CTSD;GLB1;GBA;HEXA;CLN3;AP1G2;AGA;GUSB	10	KEGG_2021_Human
