Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Amino sugar and nucleotide sugar metabolism	6/48	0.000429493443235483	0.115104242787109	6.89488536155203	53.4553848693064	GNPDA1;UXS1;NPL;NANS;FPGT;PGM3	1	KEGG_2021_Human
PPAR signaling pathway	6/74	0.0041493321572229	0.446091331738186	4.25294117647059	23.3265652934476	SCD;ME1;ME3;CD36;NR1H3;FABP4	2	KEGG_2021_Human
Lysosome	8/128	0.00499355968363641	0.446091331738186	3.2206782464847	17.0683265967972	ENTPD4;ARSB;SLC11A2;FUCA1;SORT1;PLA2G15;SCARB2;GM2A	3	KEGG_2021_Human
Histidine metabolism	3/22	0.00992600753202531	0.520087527948106	7.57352941176471	34.9336386124219	HNMT;ALDH3A2;ALDH3B1	4	KEGG_2021_Human
Porphyrin and chlorophyll metabolism	4/43	0.0115326015308617	0.520087527948106	4.92660492660493	21.9853555021015	BLVRB;FECH;HCCS;EARS2	5	KEGG_2021_Human
Adrenergic signaling in cardiomyocytes	8/150	0.0124897472626736	0.520087527948106	2.71862440149582	11.9153153193694	TPM4;CALML4;TPM1;PPP2R5B;KCNQ1;PLCB2;RPS6KA5;PPP2R1B	6	KEGG_2021_Human
Circadian entrainment	6/97	0.0149756824054886	0.520087527948106	3.17427757427757	13.3361798761232	CALML4;GNB4;GNG12;GNGT2;PLCB2;RPS6KA5	7	KEGG_2021_Human
Pyruvate metabolism	4/47	0.0156380458122804	0.520087527948106	4.4674018627507	18.5756736131263	ALDH3A2;GLO1;ME1;ME3	8	KEGG_2021_Human
Cholesterol metabolism	4/50	0.0192506793524964	0.520087527948106	4.17540861019122	16.4937363693251	MYLIP;CD36;SORT1;SCARB1	9	KEGG_2021_Human
Dopaminergic synapse	7/132	0.0194062510428398	0.520087527948106	2.6979801980198	10.6358697418325	CALML4;GNB4;PPP2R5B;GNG12;GNGT2;PLCB2;PPP2R1B	10	KEGG_2021_Human
